email,name,return_path,metadata,substitution_data,tags
fakespark+1844@spin.vinylverb.com,Fake Spark,bounce@sp-send.deadboltemail.com,"{""gender"": ""male"", ""city"": ""Sydney"", ""country"": ""Australia""}","{""gender"": ""male"", ""city"": ""Sydney"", ""country"": ""Australia""}","[""Daily""]"
fakespark+727@spin.vinylverb.com,Fake Spark,bounce@sp-send.deadboltemail.com,"{""gender"": ""female"", ""city"": ""Tokyo"", ""country"": ""Japan""}","{""gender"": ""female"", ""city"": ""Tokyo"", ""country"": ""Japan""}","[""Flash Sale""]"
fakespark+29@eastmail.independentbeers.com,Fake Spark,bounce@sp-send.deadboltemail.com,"{""gender"": ""male"", ""city"": ""Baltimore"", ""country"": ""US""}","{""gender"": ""male"", ""city"": ""Baltimore"", ""country"": ""US""}","[""Digest""]"
fakespark+1247@eastmail.independentbeers.com,Fake Spark,bounce@sp-send.deadboltemail.com,"{""gender"": ""male"", ""city"": ""Paris"", ""country"": ""France""}","{""gender"": ""male"", ""city"": ""Paris"", ""country"": ""France""}","[""Daily""]"
fakespark+1206@server.talonphotography.com,Fake Spark,bounce@sp-send.deadboltemail.com,"{""gender"": ""male"", ""city"": ""Rio de Janeiro"", ""country"": ""Brazil""}","{""gender"": ""male"", ""city"": ""Rio de Janeiro"", ""country"": ""Brazil""}","[""Weekly""]"
fakespark+3519@eastmail.independentbeers.com,Fake Spark,bounce@sp-send.deadboltemail.com,"{""gender"": ""male"", ""city"": ""Rio de Janeiro"", ""country"": ""Brazil""}","{""gender"": ""male"", ""city"": ""Rio de Janeiro"", ""country"": ""Brazil""}","[""Digest""]"
fakespark+1668@mx2.deadboltemail.com,Fake Spark,bounce@sp-send.deadboltemail.com,"{""gender"": ""female"", ""city"": ""Seattle"", ""country"": ""US""}","{""gender"": ""female"", ""city"": ""Seattle"", ""country"": ""US""}","[""Monthly""]"
fakespark+443@server.talonphotography.com,Fake Spark,bounce@sp-send.deadboltemail.com,"{""gender"": ""female"", ""city"": ""Baltimore"", ""country"": ""US""}","{""gender"": ""female"", ""city"": ""Baltimore"", ""country"": ""US""}","[""Monthly""]"
fakespark+325@spin.vinylverb.com,Fake Spark,bounce@sp-send.deadboltemail.com,"{""gender"": ""female"", ""city"": ""Boston"", ""country"": ""US""}","{""gender"": ""female"", ""city"": ""Boston"", ""country"": ""US""}","[""Monthly""]"
fakespark+2348@mx2.deadboltemail.com,Fake Spark,bounce@sp-send.deadboltemail.com,"{""gender"": ""female"", ""city"": ""Sydney"", ""country"": ""Australia""}","{""gender"": ""female"", ""city"": ""Sydney"", ""country"": ""Australia""}","[""Monthly""]"
fakespark+1728@spin.vinylverb.com,Fake Spark,bounce@sp-send.deadboltemail.com,"{""gender"": ""male"", ""city"": ""Rio de Janeiro"", ""country"": ""Brazil""}","{""gender"": ""male"", ""city"": ""Rio de Janeiro"", ""country"": ""Brazil""}","[""Weekly""]"
bogus+13@spin.vinylverb.com,Fake Spark,bounce@sp-send.deadboltemail.com,"{""gender"": ""female"", ""city"": ""Paris"", ""country"": ""France""}","{""gender"": ""female"", ""city"": ""Paris"", ""country"": ""France""}","[""Monthly""]"
